SITE;ARTIKEL;ZALOGA
1540;683305;2
1540;216918;1
1540;340133;23
1540;655614;8
1540;527223;10
1540;607005;3
1540;447327;-2
1540;449881;25
1540;474555;7
1540;652894;6
1540;703289;0
1540;625733;4
1540;683863;0
1540;623320;215
1540;520172;5
1540;177262;2
1540;253623;8
1540;638085;10
1540;499269;23
1540;560269;0
1540;460022;2
1540;487318;0
1540;585277;43
1540;511451;10
1540;240158;9
1540;653139;17
1540;610065;0
1540;459192;10
1540;468690;1
1540;678495;0
1540;515951;8
1540;317502;10
1540;320123;18
1540;485460;4
1540;642350;7
1596;652934;13
1596;298979;18
1596;411226;30
1596;660729;0
1596;125677;2
1596;125872;10
1596;342975;5
1596;118705;2
1596;623315;152
1596;511436;72
1596;192257;25
1596;241286;9
1596;511471;41
1596;283096;5
1596;679181;13
1596;642355;0
1596;340702;18
1596;176563;5
1596;118468;4
1596;296251;22
1596;470674;60
1596;623295;122
1596;465559;3
1596;674925;21
1596;468654;16
1596;520163;9
1596;524633;14
1596;125881;2
1596;605775;21
1596;470419;16
1596;253270;4
1596;188837;0
1596;468717;13
1596;177262;4
1596;653169;11
1596;673158;24
1596;666629;1
1596;145775;24
1596;450098;1
1596;642350;14
1596;674915;15
1596;678495;0
1596;638085;6
1596;125791;3
1596;499260;102
1596;292796;25
1596;447345;-1
1596;655614;4
1596;499269;69
1596;653159;14
1596;680699;0
1596;485460;20
1596;610065;0
1596;264345;112
1596;607115;14
1596;210057;11
1596;263411;76
1596;192239;50
1596;625733;21
1596;585277;11
1596;686689;0
1596;518009;5
1596;683305;1
1596;499287;74
1596;125809;5
1596;625688;11
1596;683409;1
1596;441238;23
1596;625708;14
1596;125932;126
1596;621660;19
1596;705539;7
1596;703309;4
1596;468793;4
1596;517820;19
1596;281429;29
1596;125205;10
1596;448626;0
1596;705519;11
1596;321425;24
1596;625693;20
1596;676849;0
1596;335485;3
1596;322502;15
1596;411219;10
1596;447327;26
1596;623320;155
1596;132653;87
1596;449881;13
1596;468699;10
1596;625718;7
1596;668447;4
1596;582585;16
1596;447363;7
1596;610075;0
1596;523792;24
1596;653149;14
1596;468690;12
1596;625683;9
1596;625713;6
1596;253623;40
1596;240158;12
1596;605765;12
1596;673138;9
1596;317502;1
1596;439908;7
1596;208481;18
1596;240805;8
1596;342784;9
1596;683863;5
1596;605755;14
1596;447336;16
1596;98736;107
1596;653119;7
1596;192221;8
1596;477162;5
1596;625738;13
1596;650781;0
1596;511397;66
1596;668417;93
1596;485779;0
1596;511421;80
1596;653129;7
1596;652924;3
1596;652954;10
1596;264336;40
1596;112993;4
1596;468708;11
1596;335918;17
1596;468672;17
1596;499305;64
1596;322538;23
1596;459192;23
1596;401524;15
1596;607005;4
1596;679235;0
1596;478935;7
1596;335927;7
1596;511451;3
1596;239007;16
1596;478400;21
1596;219565;0
1596;668551;18
1596;474555;11
1596;652944;9
1596;238847;2
1596;510514;10
1596;516854;25
1596;462826;17
1596;673128;10
1596;580975;12
1596;478391;60
1596;668427;104
1596;652894;6
1596;678501;0
1596;216918;8
1596;623305;117
1596;527223;22
1596;499000;34
1596;308093;0
1596;637251;173
1596;321416;14
1596;470237;16
1596;520172;8
1596;560269;7
1596;515951;7
1596;460022;0
1596;465665;6
1596;242198;18
1596;511480;14
1596;683853;8
1596;320123;16
1596;478921;14
1596;415746;13
1596;487318;0
1596;130295;21
1596;639603;0
1596;625698;10
1596;625678;11
1596;653139;9
1596;418342;0
1596;167203;2
1596;470410;1
1596;418197;64
1596;683295;14
1596;459078;7
1596;499296;69
1596;418224;46
1596;605745;11
1596;459171;18
1596;672477;24
1596;638075;15
1596;340133;9
1596;669049;0
1871;468699;20
1871;176563;15
1871;605775;17
1871;281429;58
1871;478391;13
1871;192257;44
1871;459171;16
1871;465559;0
1871;125932;53
1871;625678;5
1871;520163;0
1871;470674;104
1871;340133;20
1871;125872;10
1871;499305;14
1871;639603;0
1871;604545;0
1871;264345;88
1871;411226;41
1871;478921;14
1871;625738;16
1871;511421;96
1871;511397;95
1871;527223;20
1871;470410;0
1871;623315;0
1871;660729;18
1871;511451;31
1871;638085;6
1871;625708;4
1871;605745;10
1871;468793;9
1871;177262;9
1871;210057;1
1871;418224;0
1871;468717;12
1871;674925;32
1871;653169;13
1871;118468;2
1871;192221;66
1871;470419;7
1871;625688;3
1871;653149;18
1871;478935;10
1871;680699;0
1871;499000;36
1871;625718;-4
1871;705519;15
1871;263411;10
1871;98736;47
1871;462826;34
1871;610075;0
1871;625713;17
1871;468654;23
1871;524633;12
1871;132653;19
1871;447327;11
1871;308093;0
1871;240805;5
1871;499269;14
1871;705539;1
1871;145775;11
1871;523792;27
1871;585277;3
1871;470237;22
1871;468672;13
1871;322502;14
1871;655614;3
1871;610065;0
1871;447336;4
1871;465665;7
1871;240158;11
1871;605755;14
1871;321416;19
1871;499260;28
1871;459078;91
1871;460022;7
1871;239007;9
1871;516854;53
1871;125205;24
1871;668417;15
1871;418197;13
1871;637251;42
1871;683409;1
1871;335918;19
1871;499296;21
1871;447363;10
1871;653119;12
1871;112993;8
1871;474555;7
1871;321425;21
1871;188837;0
1871;582585;3
1871;668447;0
1871;298979;29
1871;322538;16
1871;468690;13
1871;703289;-1
1871;125791;2
1871;623295;72
1871;478400;14
1871;515951;14
1871;511471;58
1871;623305;52
1871;625733;9
1871;642355;6
1871;607115;0
1871;638075;25
1871;604555;0
1871;264336;38
1871;449881;31
1871;448626;21
1871;242198;38
1871;342975;7
1871;625683;3
1871;296251;29
1871;520172;16
1871;422620;0
1871;511436;60
1871;241286;12
1871;447345;10
1871;674915;12
1871;625698;7
1871;499287;13
1871;477162;9
1871;418342;0
1871;652954;8
1871;130295;26
1871;679181;0
1871;485460;15
1871;625693;15
1871;192239;49
1871;253270;3
1871;292796;1
1871;652934;13
1871;642350;0
1871;511480;21
1871;653129;9
1871;238847;19
1871;705569;10
1871;125677;-1
1871;125809;9
1871;118705;1
1871;518009;5
1871;208481;16
1871;673128;0
1871;653139;11
1871;607005;11
1871;621660;13
1871;669049;34
1871;560269;11
1871;441238;10
1871;342784;20
1871;673158;13
1871;283096;1
1871;401524;14
1871;335485;49
1871;686689;0
1871;415746;27
1871;653159;15
1871;485779;6
1871;668427;0
1871;125881;4
1871;320123;16
1871;468708;9
1871;253623;49
1871;459192;11
1871;623320;58
1871;167203;5
1871;439908;6
1254;253623;99
1254;516854;21
1254;468793;11
1254;520172;21
1254;639603;0
1254;520163;10
1254;511436;102
1254;296251;75
1254;401524;5
1254;623295;116
1254;485460;35
1254;517820;8
1254;668417;12
1254;499296;57
1254;478391;64
1254;625733;5
1254;253270;8
1254;118705;16
1254;468708;8
1254;605765;22
1254;125205;20
1254;422620;8
1254;605775;20
1254;705569;40
1254;653129;12
1254;450098;7
1254;642355;1
1254;447327;25
1254;652934;11
1254;320123;12
1254;478921;37
1254;321416;15
1254;478400;14
1254;669049;0
1254;418224;30
1254;625718;5
1254;580975;16
1254;511421;123
1254;653159;7
1254;447336;28
1254;625683;0
1254;322538;19
1254;625738;0
1254;238847;13
1254;468699;23
1254;263411;9
1254;625698;11
1254;668447;5
1254;582585;10
1254;652944;10
1254;703309;3
1254;610065;0
1254;638085;11
1254;308093;0
1254;623320;101
1254;112993;14
1254;125677;13
1254;283096;7
1254;167203;5
1254;340702;18
1254;655614;13
1254;680699;10
1254;686689;0
1254;621660;17
1254;511480;56
1254;623315;159
1254;703289;0
1254;499269;69
1254;605745;11
1254;240805;8
1254;477162;21
1254;652954;13
1254;176563;7
1254;132653;68
1254;705519;47
1254;281429;70
1254;499287;77
1254;605755;19
1254;625688;5
1254;340133;21
1254;585277;17
1254;705539;43
1254;208481;23
1254;459171;8
1254;683295;15
1254;118468;9
1254;415746;7
1254;673158;14
1254;210057;10
1254;604555;7
1254;470419;22
1254;674925;0
1254;650781;2
1254;188837;0
1254;125872;21
1254;679255;0
1254;335927;12
1254;523792;17
1254;487318;0
1254;668427;14
1254;177262;17
1254;499000;49
1254;335918;24
1254;468672;15
1254;511471;110
1254;465559;0
1254;219565;0
1254;642350;0
1254;499305;61
1254;449881;50
1254;130295;50
1254;653139;8
1254;511397;75
1254;460022;12
1254;459192;19
1254;676849;0
1254;485779;16
1254;679235;1
1254;673138;11
1254;625708;2
1254;660729;0
1254;459078;25
1254;321425;23
1254;468654;10
1254;666629;6
1254;625678;-1
1254;511451;20
1254;447345;30
1254;653119;12
1254;418197;46
1254;673128;0
1254;448626;15
1254;402410;15
1254;462826;24
1254;653149;13
1254;674915;0
1254;342975;9
1254;672477;11
1254;468690;12
1254;637251;180
1254;683305;7
1254;470674;234
1254;470410;11
1254;322502;18
1254;607115;0
1254;264345;94
1254;441238;12
1254;524633;22
1254;683863;7
1254;125881;9
1254;638075;19
1254;515951;46
1254;240158;7
1254;668551;11
1254;145775;16
1254;623305;84
1254;411226;0
1254;683853;6
1254;125791;20
1254;625693;3
1254;98736;215
1254;264336;175
1254;125809;17
1254;239007;35
1254;216918;15
1254;241286;5
1254;470237;32
1254;447363;19
1254;683409;-1
1254;474555;11
1254;298979;51
1254;499260;74
1254;518009;3
1254;652924;5
1254;478935;30
1254;465665;11
1254;527223;12
1254;679181;12
1254;610075;0
1254;439908;7
1254;418342;0
1254;653169;14
1254;342784;2
1254;652894;6
1254;468717;15
1254;604545;6
1254;625713;5
1254;607005;0
1406;470419;31
1406;470237;55
1406;652954;5
1406;511451;22
1406;705519;11
1406;487318;0
1406;335927;6
1406;655614;9
1406;625718;3
1406;625738;4
1406;499260;18
1406;418197;18
1406;673128;5
1406;674915;0
1406;668551;22
1406;642350;7
1406;605765;16
1406;668427;7
1406;653169;1
1406;439908;1
1406;460022;0
1406;511397;55
1406;98736;48
1406;524633;25
1406;515951;38
1406;253623;167
1406;118705;6
1406;335485;89
1406;623295;55
1406;468708;10
1406;499000;15
1406;518009;7
1406;683863;6
1406;511436;43
1406;668417;5
1406;653129;10
1406;625678;8
1406;523792;18
1406;653159;18
1406;208481;19
1406;321416;6
1406;468793;10
1406;477162;5
1406;448626;6
1406;462826;15
1406;459171;18
1406;666629;0
1406;705569;17
1406;342975;9
1406;264345;59
1406;560269;7
1406;132653;32
1406;112993;11
1406;623305;115
1406;125791;16
1406;683295;3
1406;459192;15
1406;192257;42
1406;447345;20
1406;216918;16
1406;468690;12
1406;470410;0
1406;465559;6
1406;241286;3
1406;683409;0
1406;459078;23
1406;669049;75
1406;652934;6
1406;125809;14
1406;604555;10
1406;673158;5
1406;510514;7
1406;580975;6
1406;264336;84
1406;298979;12
1406;638075;3
1406;527223;11
1406;520172;12
1406;176563;4
1406;210057;20
1406;192221;76
1406;468699;14
1406;130295;30
1406;145775;16
1406;470674;74
1406;167203;6
1406;676849;0
1406;585277;10
1406;511471;339
1406;605775;16
1406;625733;8
1406;604545;7
1406;281429;71
1406;125872;12
1406;520163;6
1406;118468;6
1406;621660;23
1406;468672;12
1406;125205;14
1406;418342;0
1406;625693;15
1406;625688;12
1406;418224;19
1406;650781;0
1406;242198;27
1406;511480;30
1406;411226;56
1406;263411;0
1406;401524;8
1406;340133;25
1406;422620;2
1406;415746;7
1406;652894;5
1406;342784;10
1406;296251;229
1406;283096;3
1406;652944;12
1235;511471;75
1235;705569;10
1235;560269;20
1235;653139;8
1235;604545;3
1235;321416;13
1235;478935;24
1235;655614;7
1235;470237;12
1235;470410;8
1235;623320;174
1235;485460;10
1235;239007;-1
1235;523792;10
1235;470419;31
1235;652894;7
1235;668427;8
1235;125791;5
1235;703289;3
1235;118468;5
1235;321425;11
1235;652924;2
1235;130295;23
1235;653129;13
1235;298979;24
1235;623305;176
1235;638075;24
1235;296251;9
1235;219565;0
1235;411226;-3
1235;238847;19
1235;441238;12
1235;462826;7
1235;485779;1
1235;449881;4
1235;401524;7
1235;468672;11
1235;447363;1
1235;125872;13
1235;511421;60
1235;672477;12
1235;625718;5
1235;125809;7
1235;460022;3
1235;240158;7
1235;605755;9
1235;666629;3
1235;623315;82
1235;499305;10
1235;340133;2
1235;335927;6
1235;125881;18
1235;679235;1
1235;499287;11
1235;125677;6
1235;210057;14
1235;118705;8
1235;474555;11
1235;705519;4
1235;253623;23
1235;605765;26
1235;683295;1
1235;459192;1
1235;625683;11
1235;145775;1
1235;653119;7
1235;705539;5
1235;240805;12
1235;660729;-13
1235;478391;6
1235;625698;20
1235;208481;11
1235;439908;8
1235;499000;49
1235;499260;9
1235;415746;7
1235;447345;0
1235;515951;19
1235;673128;3
1235;686689;0
1235;516854;-1
1235;447336;17
1235;112993;3
1235;448626;4
1235;605775;5
1235;625693;4
1235;625708;32
1235;652954;11
1235;625678;4
1235;468708;0
1235;283096;4
1235;418197;8
1235;241286;1
1235;524633;19
1766;478400;38
1766;610075;0
1766;511421;3
1766;125809;6
1766;239007;3
1766;637251;36
1766;639603;0
1766;674925;26
1766;668551;0
1766;652934;1
1766;439908;5
1766;511480;19
1766;625718;4
1766;625713;6
1766;676849;0
1766;468717;13
1766;468672;9
1766;653119;8
1766;683305;4
1766;118705;6
1766;683863;0
1766;523792;25
1766;625733;4
1766;686689;0
1766;680699;0
1766;342784;8
1766;415746;20
1766;478921;15
1766;477162;6
1766;668417;-1
1766;585277;4
1766;411226;26
1766;281429;34
1766;653169;15
1766;447327;26
1766;705539;0
1766;605755;0
1766;511471;53
1766;478391;9
1766;638075;24
1766;642355;0
1766;177262;5
1766;605745;5
1766;653139;13
1766;322502;6
1766;238847;15
1766;524633;18
1766;125205;3
1766;705569;20
1766;672477;0
1766;673138;13
1766;322538;0
1766;470410;7
1766;582585;8
1766;422620;3
1766;655614;1
1766;240158;0
1766;125881;6
1766;511436;0
1766;460022;5
1766;625698;8
1766;474555;7
1766;192221;23
1766;623305;24
1766;669049;13
1766;638085;0
1766;402410;7
1766;216918;4
1766;499296;17
1766;132653;24
1766;623295;17
1766;447336;23
1766;621660;0
1766;449881;30
1766;418197;5
1766;167203;0
1766;485460;9
1766;98736;0
1766;335927;7
1766;625708;7
1766;264345;74
1766;219565;0
1766;459078;19
1766;125677;13
1766;673158;0
1766;242198;31
1766;418224;0
1766;188837;0
1766;468690;18
1766;499000;20
1766;470674;40
1766;653159;5
1766;240805;1
1766;652954;1
1766;448626;0
1766;499305;14
1766;610065;0
1766;625738;3
1766;516854;1
1766;520172;19
1766;499269;17
1766;683853;0
1766;441238;17
1766;468708;18
1766;264336;62
1766;653129;7
1766;683409;0
1766;499260;23
1766;192239;28
1766;652894;9
1766;342975;3
1766;560269;8
1766;674915;1
1766;283096;5
1766;468654;11
1766;650781;0
1766;465559;0
1766;518009;0
1766;607005;0
1766;605775;11
1766;510514;-2
1766;321416;24
1766;668447;8
1766;321425;18
1766;679181;2
1766;660729;16
1766;462826;26
1766;112993;13
1766;459192;14
1766;192257;36
1766;468793;18
1766;511451;9
1766;253270;3
1766;317502;5
1766;176563;2
1766;625693;15
1766;130295;180
1766;487318;0
1766;418342;5
1766;296251;175
1766;308093;0
1766;623315;43
1766;623320;18
1766;253623;57
1766;520163;12
1766;320123;20
1766;527223;19
1766;145775;15
1766;668427;0
1766;703309;1
1766;210057;0
1766;478935;-1
1766;340133;29
1766;653149;15
1766;125872;12
1766;625683;16
1766;625678;5
1766;470419;23
1766;652944;13
1766;683295;0
1766;625688;17
1766;517820;10
1766;298979;25
1766;411219;10
1766;335485;52
1766;125932;32
1766;459171;1
1766;605765;26
1766;465665;0
1766;499287;9
1766;485779;1
1766;241286;7
1766;703289;0
1766;118468;0
1766;470237;21
1766;447363;7
1766;515951;14
1766;208481;18
1766;511397;3
1766;447345;0
1766;652924;0
1766;401524;8
1766;335918;4
1766;125791;12
1766;468699;16
1766;705519;5
1766;679235;-6
1766;673128;7
1794;176563;5
1794;317502;8
1794;192257;24
1794;125872;14
1794;478391;24
1794;447336;7
1794;560269;0
1794;705569;12
1794;668447;7
1794;340702;10
1794;418342;0
1794;621660;9
1794;625713;4
1794;118468;2
1794;623305;41
1794;625718;8
1794;625698;16
1794;653119;11
1794;447345;0
1794;125791;9
1794;132653;59
1794;515951;17
1794;478921;9
1794;610075;0
1794;625688;-8
1794;130295;142
1794;468654;19
1794;238847;8
1794;192221;46
1794;462826;9
1794;177262;5
1794;638075;17
1794;683305;0
1794;499260;47
1794;642355;0
1794;653139;9
1794;449881;7
1794;638085;11
1794;321425;6
1794;468793;7
1794;468699;6
1794;686689;0
1794;422620;1
1794;478935;12
1794;625733;17
1794;605775;15
1794;623315;62
1794;342975;5
1794;652894;4
1794;240158;9
1794;468672;11
1794;167203;6
1794;112993;6
1794;653169;8
1794;518009;2
1794;470674;31
1794;625738;8
1794;653129;9
1794;125677;15
1794;639603;0
1794;447327;14
1794;125809;4
1794;668427;38
1794;321416;16
1794;582585;2
1794;652924;4
1794;219565;0
1794;652934;1
1794;125205;11
1794;516854;15
1794;653159;12
1794;672477;4
1794;625683;12
1794;411219;5
1794;653149;10
1794;652954;6
1794;637251;65
1794;441238;7
1794;625708;3
1794;487318;0
1794;478400;45
1794;666629;0
1794;439908;1
1794;660729;0
1794;465665;5
1794;460022;2
1794;676849;0
1794;418224;5
1794;477162;0
1794;470419;14
1794;335485;1
1794;527223;13
1794;674925;60
1794;253270;10
1794;342784;7
1794;520172;10
1794;298979;6
1794;308093;0
1794;625693;-2
1794;674915;36
1794;511436;0
1794;411226;26
1794;98736;0
1794;705519;8
1794;499000;20
1794;448626;8
1794;447363;1
1794;239007;40
1794;623320;74
1794;679181;5
1794;524633;8
1794;607005;0
1794;511480;23
1794;652944;2
1794;210057;9
1794;703309;8
1794;499296;79
1794;499287;38
1794;264345;54
1794;605755;8
1794;610065;0
1794;605745;4
1794;465559;3
1794;459171;36
1794;474555;3
1794;125881;16
1794;511421;0
1794;680699;8
1794;605765;11
1794;188837;0
1794;679235;0
1794;655614;6
1794;485460;12
1794;468717;15
1794;208481;21
1794;673128;4
1794;499269;59
1794;264336;56
1794;335918;12
1794;242198;24
1794;520163;5
1794;145775;26
1794;459078;11
1794;322502;0
1794;705539;8
1794;415746;12
1794;511397;0
1794;523792;46
1406;447363;3
1406;478391;29
1406;653149;5
1406;253270;5
1406;474555;7
1406;441238;18
1406;623320;152
1406;625713;3
1406;240158;13
1406;485460;33
1406;219565;0
1406;703289;16
1406;177262;8
1406;499296;27
1406;308093;1
1406;320123;35
1406;517820;17
1406;125881;14
1406;679181;4
1406;335918;24
1406;485779;20
1406;679235;0
1406;625708;12
1406;465665;16
1406;478921;20
1406;683853;6
1406;516854;20
1406;468654;12
1406;239007;38
1406;322502;17
1406;188837;0
1406;642355;0
1406;638085;20
1406;610065;0
1406;582585;3
1406;511421;69
1406;449881;23
1406;478400;12
1406;240805;10
1406;703309;6
1406;605745;17
1406;499269;19
1406;683305;6
1406;653119;11
1406;625698;5
1406;652924;11
1406;637251;108
1406;447327;22
1406;447336;22
1406;680699;0
1406;238847;13
1406;653139;2
1406;192239;23
1406;605755;22
1406;322538;17
1406;668447;3
1406;625683;19
1406;672477;12
1406;125932;61
1406;340702;6
1406;321425;2
1406;499287;15
1406;639603;0
1406;623315;83
1406;610075;0
1406;705539;14
1406;660729;0
1406;125677;8
1406;686689;0
1406;499305;22
1406;468717;10
1567;208481;27
1567;468672;16
1567;524633;23
1567;468699;15
1567;240158;12
1567;342784;12
1567;683305;14
1567;296251;30
1567;118705;5
1567;674915;7
1567;125932;15
1567;459078;9
1567;468654;19
1567;653149;8
1567;468793;15
1567;669049;38
1567;676849;0
1567;322502;18
1567;322538;26
1567;470419;29
1567;605745;27
1567;668427;5
1567;672477;25
1567;239007;30
1567;98736;43
1567;686689;0
1567;605755;21
1567;449881;54
1567;450098;8
1567;668447;4
1567;625713;17
1567;653129;8
1567;623295;4
1567;582585;5
1567;441238;19
1567;188837;0
1567;499000;23
1567;118468;12
1567;653169;4
1567;401524;14
1567;511421;85
1567;478921;26
1567;703309;5
1567;465665;6
1567;422620;8
1567;342975;12
1567;460022;6
1567;625698;13
1567;487318;0
1567;468690;18
1567;470674;49
1567;511480;22
1567;610075;0
1567;511397;60
1567;478935;23
1567;112993;23
1567;176563;10
1567;610065;0
1567;192239;102
1567;680699;10
1567;242198;50
1567;468717;2
1567;623305;37
1567;625733;10
1567;585277;42
1567;673128;12
1567;625693;53
1567;125872;29
1567;447336;27
1567;465559;12
1567;447363;0
1567;580975;0
1567;625718;11
1567;660729;8
1567;683409;0
1567;253270;8
1567;321416;21
1567;560269;11
1567;340133;22
1567;679255;0
1567;625683;3
1567;705519;11
1567;511451;29
1567;478391;15
1567;411219;6
1567;653139;2
1567;418197;19
1567;520163;10
1567;335918;24
1567;703289;12
1567;653119;16
1567;145775;17
1567;125677;26
1567;523792;40
1567;238847;13
1567;418342;0
1567;485779;0
1567;652934;8
1567;623320;34
1567;515951;18
1567;320123;32
1567;240805;10
1567;642350;-6
1567;499269;19
1567;474555;11
1567;281429;69
1567;468708;13
1567;625688;49
1567;125791;11
1567;499305;45
1567;638075;15
1567;216918;8
1567;415746;9
1567;518009;13
1567;668417;8
1567;705569;5
1567;177262;12
1567;625738;5
1567;192221;98
1567;607005;0
1567;477162;8
1567;652944;9
1567;125205;4
1567;253623;181
1567;605775;25
1567;705539;12
1567;653159;14
1567;516854;43
1567;638085;14
1567;125881;19
1567;132653;20
1567;527223;30
1567;308093;0
1567;655614;8
1567;241286;8
1567;520172;15
1567;130295;3
1567;192257;49
1567;652924;12
1567;652894;9
1567;499296;45
1567;298979;52
1567;321425;16
1567;642355;5
1567;264336;54
1567;283096;9
1567;517820;17
1567;210057;10
1567;478400;27
1567;317502;1
1567;623315;4
1567;340702;7
1567;510514;4
1567;625708;20
1567;402410;1
1567;448626;10
1567;447327;31
1567;264345;106
1567;679181;5
1567;447345;0
1567;470237;68
1567;219565;0
1567;511436;56
1567;418224;52
1567;679235;0
1567;499260;41
1567;470410;11
1567;459192;8
1567;499287;16
1567;459171;6
1567;462826;21
1567;652954;5
1567;439908;7
1567;666629;0
1567;625678;12
1567;637251;47
1567;650781;0
1567;621660;14
1567;167203;2
1567;511471;253
1567;335485;19
1567;674925;7
1567;605765;0
1567;125809;15
1567;485460;21
1567;335927;11
1567;639603;0
1699;192257;86
1699;447336;121
1699;448626;23
1699;317502;25
1699;653139;17
1699;642355;8
1699;449881;40
1699;240805;11
1699;511397;246
1699;517820;24
1699;322502;14
1699;499296;81
1699;655614;0
1699;683853;6
1699;623305;113
1699;653129;22
1699;638075;14
1699;210057;40
1699;625713;40
1699;125881;15
1699;683305;1
1699;241286;22
1699;447345;8
1699;411226;40
1699;623320;49
1699;240158;32
1699;625678;33
1699;208481;80
1699;683409;5
1699;518009;37
1699;610075;22
1699;625693;21
1699;511436;179
1699;477162;34
1699;672477;1
1699;470419;89
1699;674925;40
1699;125205;14
1699;177262;8
1699;650781;14
1699;668417;12
1699;264336;105
1699;132653;78
1699;216918;15
1699;335918;7
1699;621660;80
1699;653149;10
1699;499000;92
1699;668551;53
1699;418197;42
1699;118468;14
1699;298979;23
1699;130295;91
1699;605755;15
1699;264345;233
1699;468672;15
1699;485460;12
1699;683295;0
1699;607005;0
1699;239007;15
1699;474555;32
1699;679235;3
1699;470237;65
1699;527223;30
1699;623315;62
1699;308093;-1
1699;411219;45
1699;705539;8
1699;680699;76
1699;652954;2
1699;686689;0
1699;683863;7
1699;673158;20
1699;321416;60
1699;499305;85
1699;511451;27
1699;623295;88
1699;459171;69
1699;340133;6
1699;582585;6
1699;511471;234
1699;441238;61
1699;678501;0
1699;98736;362
1699;238847;72
1699;415746;16
1699;418342;10
1699;125872;32
1699;342975;46
1699;447363;24
1699;401524;21
1699;321425;37
1699;125809;14
1699;281429;258
1699;524633;15
1699;167203;4
1699;676849;0
1699;439908;29
1699;669049;15
1699;118705;22
1699;653119;33
1699;610065;18
1699;478391;30
1699;605745;21
1699;679255;5
1699;322538;87
1699;253270;10
1699;145775;24
1699;485779;4
1699;340702;9
1699;192221;206
1699;653169;0
1699;510514;23
1699;705519;-1
1699;338516;0
1699;125677;19
1699;487318;5
1699;520163;54
1699;652934;28
1699;335485;1
1699;418224;55
1699;625733;22
1699;668447;0
1699;607115;21
1699;652924;0
1699;462826;145
1699;125791;18
1699;447327;104
1699;459078;60
1699;296251;52
1699;468793;38
1699;465559;27
1699;478921;6
1699;668427;24
1699;478400;53
1699;263411;53
1699;511480;-1
1699;674915;19
1699;468699;35
1699;460022;14
1699;605775;49
1699;470674;79
1699;176563;13
1699;625683;141
1699;468654;23
1699;320123;31
1699;638085;37
1699;660729;103
1699;673138;7
1699;499287;46
1699;499269;36
1699;625708;11
1699;679181;18
1699;637251;108
1699;652894;11
1699;335927;0
1699;468708;41
1699;639603;10
1699;450098;0
1699;459192;21
1699;192239;189
1699;625688;23
1699;468717;27
1699;653159;19
1699;625738;12
1699;422620;10
1699;188837;-4
1699;516854;13
1699;465665;22
1699;468690;19
1699;402410;89
1699;499260;99
1699;652944;20
1699;625698;19
1699;112993;6
1699;511421;127
1699;625718;11
1699;283096;40
1699;125932;145
1699;515951;92
1699;523792;33
1699;673128;23
1699;342784;41
1699;520172;13
1699;605765;1
1699;253623;67
1699;666629;8
1699;219565;1
1699;560269;3
1740;167203;11
1740;219565;0
1740;462826;20
1740;335485;63
1740;125872;7
1740;511451;10
1740;511421;0
